#group,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
#datatype,string,long,dateTime:RFC3339,string,string,double,double,double,double
#default,_result,,,,,,,,
,result,table,_time,device,location,altitude,humidity,pressure,temperature
,,0,2025-04-29T15:00:24.9766408Z,esp32,Inside,35.6575,46.60059,1018.683,21.87
,,0,2025-04-29T15:01:26.5489653Z,esp32,Inside,35.81895,46.39844,1018.664,21.9
,,0,2025-04-29T15:02:28.0881395Z,esp32,Inside,35.89665,48.18359,1018.654,22.01
,,0,2025-04-29T15:03:29.6300307Z,esp32,Inside,35.78313,45.75684,1018.668,22.11
,,0,2025-04-29T15:04:31.2748768Z,esp32,Inside,36.10857,45.64746,1018.629,22.16
,,0,2025-04-29T15:05:32.6381773Z,esp32,Inside,35.99353,45.80469,1018.643,22.24
,,0,2025-04-29T15:06:34.4591288Z,esp32,Inside,36.80791,45.73926,1018.544,22.27
,,0,2025-04-29T15:07:36.0139662Z,esp32,Inside,36.49557,45.51855,1018.582,22.36
,,0,2025-04-29T15:08:37.3592206Z,esp32,Inside,36.97493,45.58105,1018.524,22.53
,,0,2025-04-29T15:09:38.8054137Z,esp32,Inside,36.91034,43.88281,1018.532,23.2
,,0,2025-04-29T15:10:40.631275Z,esp32,Inside,37.32563,42.67383,1018.482,23.64
,,0,2025-04-29T15:11:42.3786468Z,esp32,Inside,37.50628,43.09668,1018.46,23.63
,,0,2025-04-29T15:12:43.9185432Z,esp32,Inside,37.45582,43.21289,1018.466,23.39
,,0,2025-04-29T15:13:45.3596378Z,esp32,Inside,37.24792,43.48047,1018.491,23.32
,,0,2025-04-29T15:14:46.9016238Z,esp32,Inside,37.44926,43.57324,1018.467,23.21
,,0,2025-04-29T15:15:48.2625726Z,esp32,Inside,37.39476,45.85059,1018.473,23.14
,,0,2025-04-29T15:16:49.8863676Z,esp32,Inside,37.23076,44.05273,1018.493,23.17
,,0,2025-04-29T15:17:51.5309177Z,esp32,Inside,37.61781,43.33008,1018.446,23.19
,,0,2025-04-29T15:18:53.071354Z,esp32,Inside,37.52899,42.40039,1018.457,23.31
,,0,2025-04-29T15:19:54.4356264Z,esp32,Inside,37.49266,42.61523,1018.461,23.15
,,0,2025-04-29T15:20:56.051253Z,esp32,Inside,38.24054,43.09668,1018.371,23.02
,,0,2025-04-29T15:21:57.3132133Z,esp32,Inside,38.43736,43.07129,1018.347,23
,,0,2025-04-29T15:22:58.9322806Z,esp32,Inside,38.46209,41.33008,1018.344,24.04
,,0,2025-04-29T15:24:00.3753541Z,esp32,Inside,37.97711,42.35547,1018.403,23.33
,,0,2025-04-29T15:25:01.9123507Z,esp32,Inside,38.40506,43.00391,1018.351,23.02
,,0,2025-04-29T15:26:03.4561438Z,esp32,Inside,38.31725,43.40527,1018.362,22.78
,,0,2025-04-29T15:27:04.8949666Z,esp32,Inside,38.19512,44.1543,1018.377,22.58
,,0,2025-04-29T15:28:06.4404789Z,esp32,Inside,37.69249,44.14355,1018.437,23.05
,,0,2025-04-29T15:29:07.9794448Z,esp32,Inside,38.85776,43.9375,1018.297,23.05
,,0,2025-04-29T15:30:09.4198838Z,esp32,Inside,38.78004,44.20605,1018.306,23.11
,,0,2025-04-29T15:31:11.167633Z,esp32,Inside,38.48278,43.85059,1018.342,23.22
,,0,2025-04-29T15:32:12.6096224Z,esp32,Inside,39.09698,44.19043,1018.268,23.29
,,0,2025-04-29T15:33:14.1510298Z,esp32,Inside,39.06065,43.87891,1018.272,23.4
,,0,2025-04-29T15:34:15.6902569Z,esp32,Inside,39.07478,43.8418,1018.27,23.49
,,0,2025-04-29T15:35:17.1323279Z,esp32,Inside,39.69306,43.84375,1018.196,23.51
,,0,2025-04-29T15:36:18.5708072Z,esp32,Inside,39.03996,44.08496,1018.275,23.51
,,0,2025-04-29T15:37:20.0361049Z,esp32,Inside,38.96879,43.77441,1018.283,23.5
,,0,2025-04-29T15:38:21.8600744Z,esp32,Inside,39.8147,44.00879,1018.181,23.55
,,0,2025-04-29T15:39:23.6086685Z,esp32,Inside,39.82933,43.85352,1018.179,23.73
,,0,2025-04-29T15:40:25.110556Z,esp32,Inside,40.45472,44.68262,1018.104,23.28
,,0,2025-04-29T15:41:26.5949576Z,esp32,Inside,40.18972,44.77832,1018.136,23.2
,,0,2025-04-29T15:42:28.1342295Z,esp32,Inside,40.58294,44.73438,1018.088,23.23
,,0,2025-04-29T15:43:29.574081Z,esp32,Inside,40.93124,45.04297,1018.046,23.21
,,0,2025-04-29T15:44:31.1162527Z,esp32,Inside,40.62382,44.91699,1018.083,23.33
,,0,2025-04-29T15:45:32.5528767Z,esp32,Inside,41.05693,44.05371,1018.031,23.89
,,0,2025-04-29T16:58:30.0168471Z,esp32,Inside,52.00165,40.64648,1016.71,24.89
,,0,2025-04-29T16:59:31.611149Z,esp32,Inside,51.61508,40.57715,1016.756,24.76
,,0,2025-04-29T17:00:33.1299804Z,esp32,Inside,52.33921,40.04297,1016.669,24.59
,,0,2025-04-29T17:01:34.6761249Z,esp32,Inside,52.40188,39.77246,1016.661,24.53
,,0,2025-04-29T17:02:36.2160906Z,esp32,Inside,52.51002,39.79102,1016.648,24.47
,,0,2025-04-29T17:03:37.5526721Z,esp32,Inside,53.50006,39.97461,1016.529,24.47
,,0,2025-04-29T17:04:39.2065098Z,esp32,Inside,53.03106,40.36426,1016.585,24.31
